,subj,TaskType,SentStruct,Lang_ACC,whichfirst,SStype,QLang1_firstsubj,QLang2_firstsubj,QLang
3113,116,Lang,ORC,1,LangFirst,high,yes,no,QLang1
3114,116,Lang,ORC,1,LangFirst,high,no,yes,QLang1
3115,116,Lang,SE,1,LangFirst,low,yes,no,QLang2
3116,116,Lang,SE,1,LangFirst,low,yes,no,QLang2
3117,116,Lang,SE,1,LangFirst,low,yes,no,QLang1
3118,116,Lang,SE,1,LangFirst,low,yes,no,QLang1
3119,116,Lang,SE,1,LangFirst,low,no,yes,QLang1
3120,116,Lang,SE,1,LangFirst,low,no,yes,QLang1
3121,116,Lang,SE,1,LangFirst,low,no,yes,QLang1
3122,116,Lang,SE,1,LangFirst,low,no,yes,QLang2
3123,116,Lang,SE,1,LangFirst,low,yes,no,QLang2
3124,116,Lang,SE,1,LangFirst,low,no,yes,QLang1
3125,116,Lang,SE,1,LangFirst,low,yes,no,QLang1
3126,116,Lang,SE,1,LangFirst,low,no,yes,QLang2
3127,116,Lang,SE,1,LangFirst,low,yes,no,QLang1
3128,116,Lang,SE,1,LangFirst,low,yes,no,QLang1
3129,116,Lang,SE,1,LangFirst,low,no,yes,QLang1
3130,116,Lang,SE,1,LangFirst,low,yes,no,QLang2
3131,116,Lang,SE,1,LangFirst,low,no,yes,QLang2
3132,116,Lang,SE,1,LangFirst,low,no,yes,QLang1
3133,116,Lang,SRC1,1,LangFirst,low,yes,no,QLang1
3134,116,Lang,SRC1,1,LangFirst,low,yes,no,QLang1
3135,116,Lang,SRC1,1,LangFirst,low,yes,no,QLang1
3136,116,Lang,SRC1,1,LangFirst,low,no,yes,QLang1
3137,116,Lang,SRC1,1,LangFirst,low,no,yes,QLang1
3138,116,Lang,SRC1,1,LangFirst,low,yes,no,QLang2
3139,116,Lang,SRC1,1,LangFirst,low,no,yes,QLang2
3140,116,Lang,SRC1,1,LangFirst,low,yes,no,QLang2
3141,116,Lang,SRC1,1,LangFirst,low,yes,no,QLang2
3142,116,Lang,SRC1,1,LangFirst,low,no,yes,QLang2
3143,116,Lang,SRC1,1,LangFirst,low,no,yes,QLang1
3144,116,Lang,SRC1,1,LangFirst,low,no,yes,QLang1
3145,116,Lang,SRC1,1,LangFirst,low,no,yes,QLang1
3146,116,Lang,SRC1,1,LangFirst,low,no,yes,QLang2
3147,116,Lang,SRC1,1,LangFirst,low,no,yes,QLang1
3148,116,Lang,SRC1,1,LangFirst,low,no,yes,QLang2
3149,116,Lang,SRC1,1,LangFirst,low,no,yes,QLang2
3150,116,Lang,SRC1,1,LangFirst,low,no,yes,QLang2
3151,116,Lang,SRC2,1,LangFirst,high,yes,no,QLang2
3152,116,Lang,SRC2,1,LangFirst,high,yes,no,QLang1
3153,116,Lang,SRC2,1,LangFirst,high,yes,no,QLang2
3154,116,Lang,SRC2,0,LangFirst,high,no,yes,QLang2
3155,116,Lang,SRC2,1,LangFirst,high,yes,no,QLang1
3156,116,Lang,SRC2,1,LangFirst,high,yes,no,QLang1
3157,116,Lang,SRC2,1,LangFirst,high,yes,no,QLang2
3158,116,Lang,SRC2,1,LangFirst,high,no,yes,QLang2
3159,116,Lang,SRC2,1,LangFirst,high,no,yes,QLang1
3160,116,Lang,SRC2,1,LangFirst,high,yes,no,QLang2
